,tradeDate,secID,ticker,assetClass,exchangeCD,secFullName,currencyCD,tradePrice,tradeVal,tradeVol,buyerBD,sellerBD
148,2015-02-05,002594.XSHE,002594,E,XSHE,比亚迪,CNY,35.0,3500.0,100.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司厦门莲岳路证券营业部
149,2015-02-09,002594.XSHE,002594,E,XSHE,比亚迪,CNY,32.9,2961.0,90.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司厦门莲岳路证券营业部
150,2015-03-26,002594.XSHE,002594,E,XSHE,比亚迪,CNY,46.97,1878.8,40.0,中国国际金融有限公司深圳福华一路证券营业部,中国国际金融有限公司厦门莲岳路证券营业部
151,2015-04-07,002594.XSHE,002594,E,XSHE,比亚迪,CNY,60.39,224.28,3.71,机构专用,机构专用
152,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,4083.6,60.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
153,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,2722.4,40.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
154,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,8565.0,125.84,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
155,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,2041.8,30.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
156,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,3403.0,50.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
157,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,51725.6,760.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
158,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,2041.8,30.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
159,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,8167.2,120.0,机构专用,中信建投证券股份有限公司张家港人民中路证券营业部
160,2015-06-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,68.06,1361.2,20.0,兴业证券股份有限公司杭州清泰街证券营业部,中信建投证券股份有限公司张家港人民中路证券营业部
